*,date_time,longitude,latitude,b,id
1,5/19/2015 13:06,5.456,52.922,-1,144437-2015
2,5/19/2015 14:11,5.433,52.948,2,144437-2015
3,5/19/2015 14:23,5.455,52.896,2,144437-2015
4,5/19/2015 15:51,5.435,52.923,1,144437-2015
5,5/19/2015 16:08,5.424,52.92,1,144437-2015
6,5/19/2015 17:28,5.555,52.919,2,144437-2015
7,5/19/2015 17:49,5.451,52.922,-1,144437-2015
8,5/19/2015 18:03,5.417,52.916,-1,144437-2015
9,5/19/2015 19:15,5.446,52.926,1,144437-2015
10,5/20/2015 19:13,5.434,52.923,-1,144437-2015
11,5/20/2015 19:48,5.445,52.924,-1,144437-2015
12,5/20/2015 20:35,5.438,52.924,-1,144437-2015
13,5/21/2015 1:13,5.496,52.919,2,144437-2015
14,5/21/2015 2:53,5.439,52.922,4,144437-2015
15,5/22/2015 3:45,5.44,52.93,4,144437-2015
16,5/22/2015 4:22,5.433,52.922,4,144437-2015
17,5/22/2015 4:26,5.431,52.922,4,144437-2015
18,5/22/2015 5:08,5.434,52.924,4,144437-2015
19,5/22/2015 5:21,5.434,52.923,4,144437-2015
20,5/22/2015 6:05,5.436,52.923,4,144437-2015
21,5/22/2015 6:45,5.436,52.922,4,144437-2015
22,5/22/2015 7:07,5.44,52.928,4,144437-2015
23,5/22/2015 8:23,5.559,52.895,2,144437-2015
24,5/22/2015 9:23,5.562,52.894,2,144437-2015
25,5/22/2015 10:05,5.45,52.93,-1,144437-2015
26,5/22/2015 10:55,5.361,52.901,2,144437-2015
27,5/23/2015 11:26,5.426,52.92,4,144437-2015
28,5/23/2015 12:19,5.42,52.913,-1,144437-2015
29,5/23/2015 14:04,5.442,52.914,-1,144437-2015
30,5/23/2015 15:01,5.436,52.921,4,144437-2015
31,5/23/2015 16:08,5.43,52.921,4,144437-2015
32,5/23/2015 16:46,5.436,52.923,4,144437-2015
33,5/23/2015 17:40,5.432,52.922,4,144437-2015
34,5/23/2015 17:48,5.432,52.926,4,144437-2015
35,5/24/2015 20:08,5.355,52.892,2,144437-2015
36,5/24/2015 20:47,5.437,52.924,4,144437-2015
37,5/25/2015 2:07,5.435,52.923,4,144437-2015
38,5/26/2015 3:39,5.443,52.927,-1,144437-2015
39,5/26/2015 3:59,5.418,52.897,-1,144437-2015
40,5/26/2015 4:38,5.434,52.92,-1,144437-2015
41,5/26/2015 5:08,5.443,52.926,-1,144437-2015
42,5/26/2015 5:17,5.441,52.926,-1,144437-2015
43,5/26/2015 5:38,5.424,52.92,-1,144437-2015
44,5/26/2015 6:19,5.42,52.905,-1,144437-2015
45,5/26/2015 6:47,5.426,52.923,-1,144437-2015
46,5/26/2015 8:24,5.428,52.917,-1,144437-2015
47,5/26/2015 8:42,5.432,52.919,-1,144437-2015
48,5/26/2015 9:36,5.437,52.922,-1,144437-2015
49,5/26/2015 10:23,5.433,52.923,-1,144437-2015
50,5/27/2015 10:56,5.441,52.925,-1,144437-2015
51,5/27/2015 11:35,5.434,52.923,-1,144437-2015
52,5/27/2015 11:43,5.438,52.922,-1,144437-2015
53,5/27/2015 13:17,5.429,52.925,-1,144437-2015
54,5/27/2015 14:22,5.414,52.926,-1,144437-2015
55,5/27/2015 15:59,5.436,52.923,-1,144437-2015
56,5/27/2015 16:12,5.435,52.923,-1,144437-2015
57,5/27/2015 16:33,5.434,52.923,-1,144437-2015
58,5/27/2015 17:42,5.439,52.917,-1,144437-2015
59,5/27/2015 18:13,5.439,52.917,-1,144437-2015
60,5/27/2015 18:53,5.437,52.921,-1,144437-2015
61,5/28/2015 19:28,5.432,52.92,-1,144437-2015
62,5/28/2015 20:00,5.437,52.923,-1,144437-2015
63,5/28/2015 21:10,5.438,52.924,-1,144437-2015
64,5/30/2015 2:51,5.437,52.922,-1,144437-2015
65,5/30/2015 3:52,5.439,52.922,-1,144437-2015
66,5/30/2015 4:31,5.442,52.952,2,144437-2015
67,5/30/2015 5:08,5.443,52.918,-1,144437-2015
68,5/30/2015 5:14,5.437,52.924,-1,144437-2015
69,5/30/2015 5:31,5.439,52.923,-1,144437-2015
70,5/30/2015 6:48,5.431,52.924,-1,144437-2015
71,5/30/2015 6:54,5.425,52.923,-1,144437-2015
72,5/30/2015 7:13,5.427,52.923,-1,144437-2015
73,5/30/2015 9:00,5.44,52.922,-1,144437-2015
74,5/30/2015 9:53,5.437,52.923,-1,144437-2015
75,5/30/2015 10:40,5.434,52.922,-1,144437-2015
76,5/31/2015 12:01,5.431,52.931,-1,144437-2015
77,5/31/2015 12:33,5.426,52.923,-1,144437-2015
78,5/31/2015 14:14,5.431,52.922,-1,144437-2015
79,5/31/2015 15:12,5.432,52.92,-1,144437-2015
80,5/31/2015 16:10,5.432,52.921,-1,144437-2015
81,5/31/2015 16:58,5.4,52.908,-1,144437-2015
82,5/31/2015 17:51,5.441,52.927,-1,144437-2015
83,6/1/2015 19:46,5.437,52.923,-1,144437-2015
84,6/1/2015 20:40,5.436,52.924,-1,144437-2015
85,6/1/2015 21:23,5.438,52.925,-1,144437-2015
86,6/3/2015 9:18,5.435,52.924,-1,144437-2015
87,6/3/2015 9:49,5.437,52.925,-1,144437-2015
88,6/3/2015 10:13,5.471,52.919,-1,144437-2015
89,6/3/2015 10:58,5.444,52.927,-1,144437-2015
90,6/3/2015 11:57,5.434,52.922,-1,144437-2015
91,6/4/2015 13:27,5.398,52.926,-1,144437-2015
92,6/4/2015 14:30,5.45,52.927,-1,144437-2015
93,6/4/2015 16:07,5.43,52.925,-1,144437-2015
94,6/4/2015 16:09,5.45,52.926,-1,144437-2015
95,6/4/2015 17:51,5.447,52.923,-1,144437-2015
96,6/4/2015 18:01,5.438,52.925,-1,144437-2015
97,6/4/2015 19:35,5.432,52.922,-1,144437-2015
98,6/4/2015 19:41,5.436,52.924,-1,144437-2015
99,6/4/2015 20:25,5.438,52.925,-1,144437-2015
100,6/7/2015 5:46,5.457,52.918,-1,144437-2015
101,6/7/2015 6:02,5.433,52.937,-1,144437-2015
102,6/7/2015 6:50,5.431,52.925,-1,144437-2015
103,6/7/2015 7:19,5.435,52.921,-1,144437-2015
104,6/7/2015 9:34,5.43,52.922,-1,144437-2015
105,6/7/2015 10:32,5.427,52.914,-1,144437-2015
106,6/7/2015 11:16,5.432,52.928,-1,144437-2015
107,6/7/2015 11:16,5.42,52.936,-1,144437-2015
108,6/7/2015 12:56,5.289,52.896,-1,144437-2015
109,6/7/2015 13:57,5.29,52.884,2,144437-2015
110,6/8/2015 14:24,5.469,52.924,-1,144437-2015
111,6/8/2015 14:30,5.468,52.925,-1,144437-2015
112,6/8/2015 15:20,5.432,52.923,-1,144437-2015
113,6/8/2015 16:11,5.418,52.919,-1,144437-2015
114,6/8/2015 17:37,5.428,52.92,-1,144437-2015
115,6/8/2015 17:50,5.429,52.923,-1,144437-2015
116,6/8/2015 19:03,5.442,52.921,-1,144437-2015
117,6/8/2015 19:15,5.436,52.92,-1,144437-2015
118,6/8/2015 19:51,5.439,52.923,-1,144437-2015
119,6/8/2015 20:37,5.438,52.923,-1,144437-2015
120,6/10/2015 0:50,5.401,52.91,-1,144437-2015
121,6/10/2015 2:30,5.391,52.914,-1,144437-2015
122,6/10/2015 4:11,5.395,52.89,2,144437-2015
123,6/10/2015 4:27,5.412,52.901,-1,144437-2015
124,6/10/2015 5:36,5.423,52.922,-1,144437-2015
125,6/10/2015 6:06,5.471,52.908,-1,144437-2015
126,6/11/2015 6:37,5.426,52.919,-1,144437-2015
127,6/11/2015 6:51,5.432,52.921,-1,144437-2015
128,6/11/2015 7:17,5.441,52.919,-1,144437-2015
129,6/11/2015 8:20,5.441,52.895,-1,144437-2015
130,6/11/2015 9:53,5.411,52.888,2,144437-2015
131,6/11/2015 10:46,5.404,52.882,2,144437-2015
132,6/11/2015 11:33,5.34,52.925,-1,144437-2015
133,6/11/2015 12:09,5.42,52.923,-1,144437-2015
134,6/11/2015 13:52,5.421,52.921,-1,144437-2015
135,6/12/2015 14:38,5.388,52.912,-1,144437-2015
136,6/12/2015 15:30,5.39,52.922,-1,144437-2015
137,6/12/2015 16:11,5.383,52.889,2,144437-2015
138,6/12/2015 16:16,5.41,52.896,-1,144437-2015
139,6/12/2015 17:10,5.398,52.893,2,144437-2015
140,6/12/2015 17:51,5.434,52.922,-1,144437-2015
141,6/12/2015 18:50,5.526,52.913,-1,144437-2015
142,6/12/2015 19:18,5.391,52.894,2,144437-2015
143,6/12/2015 20:10,5.384,52.891,2,144437-2015
144,6/12/2015 20:55,5.408,52.914,-1,144437-2015
145,6/14/2015 1:47,5.447,52.933,-1,144437-2015
146,6/14/2015 3:24,5.435,52.922,-1,144437-2015
147,6/14/2015 3:56,5.44,52.921,-1,144437-2015
148,6/14/2015 4:03,5.432,52.92,-1,144437-2015
149,6/14/2015 4:21,5.362,52.845,2,144437-2015
150,6/14/2015 5:31,5.371,52.873,2,144437-2015
151,6/15/2015 5:49,5.387,52.87,2,144437-2015
152,6/15/2015 6:51,5.365,52.848,2,144437-2015
153,6/15/2015 7:32,5.385,52.877,2,144437-2015
154,6/15/2015 8:27,5.39,52.873,2,144437-2015
155,6/15/2015 8:27,5.39,52.873,2,144437-2015
