,id,t,b
17,123424-2017-att1,01/07/2017 18:38,2
18,123424-2017-att1,01/07/2017 18:59,2
19,123424-2017-att1,01/07/2017 19:20,2
20,123424-2017-att1,01/07/2017 20:16,2
21,123424-2017-att1,01/07/2017 21:43,2
22,123424-2017-att1,01/07/2017 22:32,2
23,123424-2017-att1,01/09/2017 03:58,2
24,123424-2017-att1,01/10/2017 10:21,2
25,123424-2017-att1,01/11/2017 18:35,2
26,123424-2017-att1,01/11/2017 19:00,2
27,123424-2017-att1,01/11/2017 19:48,2
28,123424-2017-att1,01/13/2017 03:12,2
29,123424-2017-att1,01/13/2017 04:49,2
30,123424-2017-att1,01/14/2017 10:38,2
31,123424-2017-att1,01/14/2017 15:53,2
32,123424-2017-att1,01/15/2017 19:00,2
33,123424-2017-att1,01/15/2017 19:25,2
34,123424-2017-att1,01/15/2017 19:29,2
35,123424-2017-att1,01/15/2017 21:12,2
36,123424-2017-att1,01/15/2017 21:28,2
37,123424-2017-att1,01/15/2017 22:19,2
38,123424-2017-att1,01/15/2017 23:08,2
39,123424-2017-att1,01/17/2017 04:07,2
40,123424-2017-att1,01/17/2017 07:04,2
41,123424-2017-att1,01/18/2017 10:55,2
42,123424-2017-att1,01/18/2017 15:11,2
43,123424-2017-att1,01/18/2017 16:51,2
44,123424-2017-att1,01/19/2017 19:05,2
45,123424-2017-att1,01/19/2017 19:05,2
46,123424-2017-att1,01/19/2017 20:26,2
47,123424-2017-att1,01/19/2017 21:42,2
48,123424-2017-att1,01/19/2017 22:37,2
49,123424-2017-att1,01/21/2017 03:23,1
50,123424-2017-att1,01/21/2017 05:04,1
51,123424-2017-att1,01/21/2017 07:05,2
52,123424-2017-att1,01/21/2017 07:12,1
53,123424-2017-att1,01/21/2017 07:15,1
54,123424-2017-att1,01/21/2017 08:49,1
55,123424-2017-att1,01/21/2017 09:51,1
56,123424-2017-att1,01/21/2017 10:47,2
57,123424-2017-att1,01/22/2017 11:10,2
58,123424-2017-att1,01/22/2017 16:04,2
59,123424-2017-att1,01/23/2017 19:00,2
60,123424-2017-att1,01/23/2017 19:37,2
61,123424-2017-att1,01/23/2017 20:22,2
62,123424-2017-att1,01/23/2017 22:00,2
63,123424-2017-att1,01/23/2017 22:54,2
64,123424-2017-att1,01/25/2017 04:17,2
65,123424-2017-att1,01/25/2017 06:47,2
66,123424-2017-att1,01/25/2017 07:06,2
67,123424-2017-att1,01/25/2017 08:05,2
68,123424-2017-att1,01/25/2017 10:11,2
69,123424-2017-att1,01/26/2017 10:43,2
70,123424-2017-att1,01/26/2017 11:27,2
71,123424-2017-att1,01/26/2017 15:17,2
72,123424-2017-att1,01/26/2017 17:48,2
73,123424-2017-att1,01/27/2017 18:15,2
74,123424-2017-att1,01/27/2017 18:50,2
75,123424-2017-att1,01/27/2017 19:01,2
76,123424-2017-att1,01/27/2017 19:55,2
77,123424-2017-att1,01/27/2017 22:17,2
78,123424-2017-att1,01/29/2017 03:31,2
79,123424-2017-att1,01/29/2017 06:24,2
80,123424-2017-att1,01/29/2017 07:12,2
81,123424-2017-att1,01/29/2017 07:19,2
82,123424-2017-att1,01/30/2017 10:58,2
83,123424-2017-att1,01/30/2017 11:47,2
84,123424-2017-att1,01/30/2017 14:31,2
85,123424-2017-att1,01/30/2017 16:12,2
86,123424-2017-att1,01/31/2017 19:06,2
87,123424-2017-att1,01/31/2017 19:29,2
88,123424-2017-att1,01/31/2017 19:49,2
89,123424-2017-att1,01/31/2017 21:49,2
90,123424-2017-att1,01/31/2017 22:35,2
91,123424-2017-att1,02/02/2017 04:25,2
92,123424-2017-att1,02/02/2017 06:02,2
93,123424-2017-att1,02/02/2017 07:08,2
94,123424-2017-att1,02/02/2017 07:42,2
95,123424-2017-att1,02/03/2017 07:58,2
96,123424-2017-att1,02/03/2017 08:19,2
97,123424-2017-att1,02/03/2017 10:22,2
98,123424-2017-att1,02/03/2017 15:26,2
99,123424-2017-att1,02/04/2017 16:57,2
100,123424-2017-att1,02/04/2017 18:58,2
101,123424-2017-att1,02/04/2017 19:02,2
102,123424-2017-att1,02/04/2017 19:06,2
103,123424-2017-att1,02/04/2017 20:43,2
104,123424-2017-att1,02/04/2017 22:07,2
105,123424-2017-att1,02/04/2017 22:52,2
106,123424-2017-att1,02/06/2017 03:41,2
107,123424-2017-att1,02/06/2017 05:19,2
108,123424-2017-att1,02/06/2017 05:36,2
109,123424-2017-att1,02/06/2017 07:08,2
110,123424-2017-att1,02/06/2017 07:14,2
111,123424-2017-att1,02/06/2017 07:22,2
112,123424-2017-att1,02/07/2017 08:21,2
113,123424-2017-att1,02/07/2017 08:52,2
114,123424-2017-att1,02/07/2017 10:39,2
115,123424-2017-att1,02/07/2017 14:42,2
116,123424-2017-att1,02/08/2017 16:14,2
117,123424-2017-att1,02/08/2017 18:43,2
118,123424-2017-att1,02/08/2017 18:59,2
119,123424-2017-att1,02/08/2017 19:53,2
120,123424-2017-att1,02/08/2017 20:18,2
121,123424-2017-att1,02/08/2017 21:28,2
122,123424-2017-att1,02/08/2017 22:24,2
123,123424-2017-att1,02/08/2017 23:11,2
