IndividualID,Lat Nest,Long nest,Fate Nest,Clutch number,startdate with chicks,enddate with chicks,Laydate,Nest discovery,enddate nest due to depredation,Fledged,Remarks,
5308,53.2554976,5.8627952,Hatched,1,NA,NA,03/30/2021,03/31/2021,,NA,Weird nest/occasion. Bird was caught on this nest but it never returned. Through observations from the road we saw another pair incubating the nest. Perhaps we caught a neighbouring bird that accidentally visited the nest.  This is very well possible because in the night before capture a neighbouring nest was depredated. I would suggest to remove this nest.,
5308,53.327282,5.89856,Hatched,2,05/21/2021,06/13/2021,04/21/2021,04/30/2021,,unknown,,
5439,53.2594112,5.8589584,Hatched,1,04/26/2021,05/23/2021,03/27/2021,03/28/2021,,yes,,
5303,53.2590432,5.8599352,Hatched,1,04/22/2021,04/29/2021,03/23/2021,04/19/2021,,no,,
5303,53.259579,5.858234,Depredated,2,NA,NA,05/07/2021,05/13/2021,05/25/2021,NA,Stoat taking eggs @ 25-5-2021,
5286,53.155078,6.1037,Hatched,1,04/27/2021,05/02/2021,03/28/2021,04/01/2021,,no,,
5284,53.2643584,6.1679796,Abandoned,1,NA,NA,03/28/2021,04/01/2021,,NA,Didn't return on the nest,
5268,53.2886048,6.166866,Hatched,1,04/19/2021,04/24/2021,03/20/2021,04/19/2021,,no,,
5268,53.288685,6.166952,Hatched,2,06/01/2021,06/09/2021,05/02/2021,05/10/2021,,no,,
5277,53.289007,6.16675,Hatched,2,05/29/2021,06/05/2021,04/29/2021,05/03/2021,,no,,
5270,53.2903872,6.1683052,Hatched,1,05/06/2021,05/09/2021,04/06/2021,04/12/2021,,no,,
5270,53.311188,6.168154,Depredated,2,NA,NA,05/18/2021,05/23/2021,unknown,NA,,
5181,53.2884608,6.166498,Hatched,1,05/07/2021,06/03/2021,04/07/2021,04/21/2021,,yes,,
5282,53.134007,5.503366,Hatched,1,05/11/2021,06/08/2021,04/11/2021,04/13/2021,,yes,,
5278,53.13399,5.50512,Hatched,1,05/04/2021,06/01/2021,04/04/2021,04/13/2021,,yes,,
5274,53.25568,5.860375,Hatched,1,05/14/2021,06/11/2021,04/14/2021,04/23/2021,,yes,,
5301,53.321087,6.045473,Depredated,1,NA,NA,05/02/2021,05/10/2021,,NA,According to local volunteer nest was depredated in the evening of 10-5-2021,
