ColourCode,Remarks,Ringnumber,TransmitterID,YearDeployed,DateDeployed,NestID,FirstTimeFound,NestFate,HatchDate,LastDaySeenChickGuiding,Notes,DaysBroodAlive,id
B3BLLL,,2504825,2042,2013,05/26/2013,1306902506,05/11/2013,Hatched,02-Jun-13,16-Jun-13,,14,2042-2013
B3BLYB,Found Dead,2504824,2004,2013,05/26/2013,1306901003,05/02/2013,Hatched,28-May-13,22-Jun-13,,25,2004-2013
B3BLYL,,2504822,2020,2013,05/24/2013,1306900402,05/09/2013,Hatched,24-May-13,22-Jun-13,,29,2020-2013
B3BLYR,,2504823,2011,2013,05/25/2013,1306900303,05/04/2013,Hatched,29-May-13,NA,,NA,2011-2013
B3RBLR,Found Dead: 5/18/2013,2503004,2023,2013,05/09/2013,1306903206,05/03/2013,Hatched,17-May-13,NA,Found Dead on 18th,NA,2023-2013
B3RLLL,,2504829,2015,2014,,1415901803,05/23/2014,Hatched,11-Jun-14,NA,,NA,2015-2014
B3RLLL,,2504829,2015,2013,05/27/2013,1306901303,05/03/2013,Hatched,28-May-13,12-Jun-13,,15,2015-2013
B4LBYL,,2504818,2041,2013,05/22/2013,1306901603,05/03/2013,Hatched,22-May-13,22-Jun-13,,31,2041-2013
Y2BRYB,,3652856,2012,2013,04/30/2013,1306901401,04/18/2013,Hatched,14-May-13,14-Jun-13,,31,2012-2013
Y2BYLR,,3654007,2016,2013,04/27/2013,1306901901,04/22/2013,Depredated,NA,NA,,NA,2016-2013
Y2RLBL,,3654133,2001,2013,05/06/2013,1306901806,05/06/2013,Hatched,22-May-13,NA,,NA,2001-2013
Y2RLLB,Redeployed,3654125,2023,2013,05/27/2013,1306902303,05/02/2013,Hatched,28-May-13,22-Jun-13,,25,2023-2013
Y2RYLY,,3654014,1008,2013,05/27/2013,1306903904,05/02/2013,Hatched,28-May-13,27-Jun-13,,30,1008-2013
Y2YLRL,,3654003,2010,2013,05/21/2013,1306902302,05/02/2013,Hatched,21-May-13,NA,,NA,2010-2013
Y2YLYY,,3619093,2006,2013,05/15/2013,1306904001,04/30/2013,Hatched,23-May-13,06-Jun-13,,14,2006-2013
Y4BRRR,Redeployed,3659780,2004,2014,05/29/2014,1406901404,05/06/2014,Hatched,30-May-14,04-Jun-14,,5,2004-2014
Y4BYLL,,3655559,2014,2013,05/12/2013,1306900501,04/24/2013,Hatched,14-May-13,NA,,NA,2014-2013
Y4BYRR,,3654035,2018,2014,,1406900706,05/10/2014,Hatched,29-May-14,NA,,NA,2018-2014
Y4BYRR,,3654035,2018,2013,05/22/2013,1306901405,05/02/2013,Hatched,27-May-13,16-Jun-13,,20,2018-2013
Y4LRLY,,1430426,2013,2013,05/04/2013,1306900701,04/24/2013,Hatched,18-May-13,NA,,NA,2013-2013
Y5BYYY,,2504821,1009,2013,05/24/2013,1306900504,05/09/2013,Hatched,24-May-13,22-Jun-13,,29,1009-2013
Y5RRLB,,2504860,2017,2013,05/13/2013,1306905603,05/10/2013,Hatched,15-May-13,18-Jun-13,,34,2017-2013
Y6LBBB,,3659862,2002,2013,05/14/2013,1306904503,05/10/2013,Hatched,16-May-13,NA,,NA,2002-2013
Y6LBBB,,3659862,2002,2014,,1406903205,05/04/2014,Hatched,24-May-14,04-Jun-14,,11,2002-2014
Y6LBBB,,3659862,2002,2015,,1506903202,04/14/2015,Hatched,12-May-15,NA,,NA,2002-2015
Y6RBLB,,2502995,1001,2012,05/11/2012,1206903901,04/23/2012,Hatched,22-May-12,NA,,NA,1001-2012
Y6RBLY,,2502994,1002,2012,05/11/2012,1206901103,05/07/2012,Hatched,12-May-12,NA,hatched on 12th or 13th,NA,1002-2012
Y6YBLY,,3654203,2019,2013,05/09/2013,1306903204,05/03/2013,Hatched,23-May-13,18-Jun-13,,26,2019-2013
