ID,longitude,latitude,date_time,b,t
2001-2013,5.4270624,52.9213683,5/6/2013 16:14,1,5/6/2013 16:14
2001-2013,5.4266784,52.9212785,5/6/2013 17:14,2,5/6/2013 17:14
2001-2013,5.4267624,52.9213388,5/6/2013 18:14,2,5/6/2013 18:14
2001-2013,5.4267713,52.9213417,5/6/2013 19:14,2,5/6/2013 19:14
2001-2013,5.4268285,52.921294,5/6/2013 20:15,2,5/6/2013 20:15
2001-2013,5.4267455,52.921293,5/6/2013 21:16,2,5/6/2013 21:16
2001-2013,5.4267235,52.9212599,5/6/2013 22:16,2,5/6/2013 22:16
2001-2013,5.4267346,52.921306,5/6/2013 23:16,2,5/6/2013 23:16
2001-2013,5.4267415,52.9212884,5/7/2013 0:17,2,5/7/2013 0:17
2001-2013,5.4267203,52.9212962,5/7/2013 1:17,2,5/7/2013 1:17
2001-2013,5.4266306,52.9213023,5/7/2013 2:17,2,5/7/2013 2:17
2001-2013,5.426812,52.92136,5/7/2013 3:18,2,5/7/2013 3:18
2001-2013,5.424959,52.9201207,5/7/2013 4:19,-1,5/7/2013 4:19
2001-2013,5.4249549,52.9201466,5/7/2013 5:21,1,5/7/2013 5:21
2001-2013,5.4242386,52.9197904,5/7/2013 6:21,1,5/7/2013 6:21
2001-2013,5.4215341,52.9188371,5/7/2013 7:22,1,5/7/2013 7:22
2001-2013,5.4248367,52.9201649,5/7/2013 8:22,1,5/7/2013 8:22
2001-2013,5.4248785,52.9201577,5/7/2013 9:23,1,5/7/2013 9:23
2001-2013,5.4249635,52.9201283,5/7/2013 10:24,1,5/7/2013 10:24
2001-2013,5.4249528,52.9201059,5/7/2013 11:24,1,5/7/2013 11:24
2001-2013,5.4240154,52.9199461,5/7/2013 12:24,1,5/7/2013 12:24
2001-2013,5.4251739,52.9196482,5/7/2013 13:24,1,5/7/2013 13:24
2001-2013,5.4248206,52.9201071,5/7/2013 14:25,1,5/7/2013 14:25
2001-2013,5.4248077,52.9201453,5/7/2013 15:26,1,5/7/2013 15:26
2001-2013,5.4267257,52.9212933,5/7/2013 16:26,2,5/7/2013 16:26
2001-2013,5.424599,52.9201336,5/7/2013 17:27,1,5/7/2013 17:27
2001-2013,5.4248295,52.9203044,5/7/2013 18:29,1,5/7/2013 18:29
2001-2013,5.4246403,52.9204737,5/7/2013 19:30,1,5/7/2013 19:30
2001-2013,5.4269228,52.9213995,5/7/2013 20:30,2,5/7/2013 20:30
2001-2013,5.4093967,52.9151116,5/7/2013 21:31,2,5/7/2013 21:31
2001-2013,5.4091592,52.9151154,5/7/2013 22:32,2,5/7/2013 22:32
2001-2013,5.4093883,52.9150607,5/7/2013 23:32,2,5/7/2013 23:32
2001-2013,5.4093463,52.9150569,5/8/2013 0:33,2,5/8/2013 0:33
2001-2013,5.4093319,52.9150867,5/8/2013 1:33,2,5/8/2013 1:33
2001-2013,5.409343,52.9150917,5/8/2013 2:33,2,5/8/2013 2:33
2001-2013,5.4273237,52.9215959,5/8/2013 3:33,2,5/8/2013 3:33
2001-2013,5.4249154,52.9201364,5/8/2013 4:34,1,5/8/2013 4:34
2001-2013,5.4249316,52.9201496,5/8/2013 5:34,1,5/8/2013 5:34
2001-2013,5.4249352,52.9201453,5/8/2013 6:34,1,5/8/2013 6:34
2001-2013,5.4247742,52.9202616,5/8/2013 7:35,1,5/8/2013 7:35
2001-2013,5.4249589,52.920178,5/8/2013 8:38,1,5/8/2013 8:38
2001-2013,5.4250728,52.9201215,5/8/2013 9:39,1,5/8/2013 9:39
2001-2013,5.4248412,52.9202155,5/8/2013 10:42,1,5/8/2013 10:42
2001-2013,5.4246178,52.920297,5/8/2013 11:43,1,5/8/2013 11:43
2001-2013,5.4244144,52.9200698,5/8/2013 12:43,1,5/8/2013 12:43
2001-2013,5.42628,52.9213456,5/8/2013 13:43,2,5/8/2013 13:43
2001-2013,5.4236031,52.9209822,5/8/2013 14:43,2,5/8/2013 14:43
2001-2013,5.4215394,52.9190044,5/8/2013 15:44,2,5/8/2013 15:44
2001-2013,5.4249609,52.9202036,5/8/2013 16:47,-1,5/8/2013 16:47
2001-2013,5.4243434,52.9200984,5/8/2013 17:47,1,5/8/2013 17:47
2001-2013,5.4267339,52.9213035,5/8/2013 18:47,2,5/8/2013 18:47
2001-2013,5.4264645,52.9211442,5/8/2013 19:47,2,5/8/2013 19:47
2001-2013,5.4266629,52.9213371,5/8/2013 20:34,2,5/8/2013 20:34
2001-2013,5.4267382,52.9213213,5/8/2013 20:44,2,5/8/2013 20:44
2001-2013,5.4268176,52.9213528,5/8/2013 20:54,2,5/8/2013 20:54
2001-2013,5.4094804,52.915064,5/8/2013 21:04,2,5/8/2013 21:04
2001-2013,5.4094645,52.9150526,5/8/2013 21:14,2,5/8/2013 21:14
2001-2013,5.4094722,52.915015,5/8/2013 21:24,2,5/8/2013 21:24
2001-2013,5.4095117,52.915104,5/8/2013 21:34,2,5/8/2013 21:34
2001-2013,5.4094642,52.9150513,5/8/2013 21:44,2,5/8/2013 21:44
2001-2013,5.4093319,52.9149983,5/8/2013 21:54,2,5/8/2013 21:54
2001-2013,5.4093146,52.9150458,5/8/2013 22:04,2,5/8/2013 22:04
2001-2013,5.4093041,52.9150459,5/8/2013 22:14,2,5/8/2013 22:14
